Year,Week,Age,ILI_Percent 
2024,21,5-24 yr,3.0410687218398884
2024,21,25-49 yr,1.6237241550764472
2024,21,50-64 yr,1.1592155055307587
2024,21,65+ yr,0.838528150110139
2024,22,0-4 yr,6.171094868651324
2024,22,5-24 yr,2.9348863432349264
2024,22,25-49 yr,1.5452998390794777
2024,22,50-64 yr,1.133734091252075
2024,22,65+ yr,0.8776520887561439
2024,23,0-4 yr,5.485018280082658
2024,23,5-24 yr,2.5206703910614525
2024,23,25-49 yr,1.476337849904207
2024,23,50-64 yr,1.054920398445063
2024,23,65+ yr,0.8149733331854924
2024,24,0-4 yr,5.096817504772694
2024,24,5-24 yr,2.290114224451709
2024,24,25-49 yr,1.3702315782809853
2024,24,50-64 yr,1.02119607514001
2024,24,65+ yr,0.7835809988915196
2024,25,0-4 yr,4.8076716795743675
2024,25,5-24 yr,2.106416987080507
2024,25,25-49 yr,1.3844174269374363
2024,25,50-64 yr,0.9847619106290832
2024,25,65+ yr,0.7844995047294372
2024,26,0-4 yr,4.429699293029115
2024,26,5-24 yr,2.053372272943446
2024,26,25-49 yr,1.3310175203783492
2024,26,50-64 yr,1.0374961151026527
2024,26,65+ yr,0.8022278371937509
2024,27,0-4 yr,4.35077121250819
2024,27,5-24 yr,2.0143058528690023
2024,27,25-49 yr,1.2765748156999757
2024,27,50-64 yr,0.9750899246041397
2024,27,65+ yr,0.8287427259053944
2024,28,0-4 yr,4.4051257305238325
2024,28,5-24 yr,1.9872528084972636
2024,28,25-49 yr,1.3415934120182806
2024,28,50-64 yr,1.0118648651826765
2024,28,65+ yr,0.772513983093467
2024,29,0-4 yr,4.260541772595775
2024,29,5-24 yr,1.983315491006473
2024,29,25-49 yr,1.3161706812457181
2024,29,50-64 yr,1.0144692017863806
2024,29,65+ yr,0.8164037714425656
2024,30,0-4 yr,4.619813868368782
2024,30,5-24 yr,2.0434352737221335
2024,30,25-49 yr,1.3488779454260347
2024,30,50-64 yr,1.0249887085326623
2024,30,65+ yr,0.825507335949447
2024,31,0-4 yr,4.484369306198169
2024,31,5-24 yr,2.059072009541637
2024,31,25-49 yr,1.3637787697777346
2024,31,50-64 yr,0.9987381451654995
2024,31,65+ yr,0.8031330318949513
2024,32,0-4 yr,4.645506777486473
2024,32,5-24 yr,2.0737281660826725
2024,32,25-49 yr,1.368102150697045
2024,32,50-64 yr,0.9808761348758344
2024,32,65+ yr,0.7984449420831865
2024,33,0-4 yr,4.723945138464226
2024,33,5-24 yr,2.2665574501071766
2024,33,25-49 yr,1.3514003741701663
2024,33,50-64 yr,0.948325211033405
2024,33,65+ yr,0.7700743050235734
2024,34,0-4 yr,5.463722923858292
2024,34,5-24 yr,2.8047938004986035
2024,34,25-49 yr,1.4628259359038436
2024,34,50-64 yr,0.9967308212275398
2024,34,65+ yr,0.771508938955454
2024,35,0-4 yr,5.880113795728653
2024,35,5-24 yr,3.1736514746244677
2024,35,25-49 yr,1.5153265590810099
2024,35,50-64 yr,1.0137463887774079
2024,35,65+ yr,0.7932013867595351
2024,36,0-4 yr,5.989680773548121
2024,36,5-24 yr,3.1700305319455717
2024,36,25-49 yr,1.582244331500001
2024,36,50-64 yr,1.1060772251100832
2024,36,65+ yr,0.8027663708984452
2024,37,0-4 yr,6.089957139589694
2024,37,5-24 yr,3.052628007960919
2024,37,25-49 yr,1.557352086159639
2024,37,50-64 yr,1.025244576971571
2024,37,65+ yr,0.7984802827464488
2024,38,0-4 yr,6.297587910491136
2024,38,5-24 yr,3.171368528306693
2024,38,25-49 yr,1.5115945297603182
2024,38,50-64 yr,1.0534841112877198
2024,38,65+ yr,0.7842831874158703
2024,39,0-4 yr,6.295701280366097
2024,39,5-24 yr,3.147032394820515
2024,39,25-49 yr,1.5325863808761613
2024,39,50-64 yr,1.0435922689044301
2024,39,65+ yr,0.7549121226286207
2022,40,0-4 yr,9.83907566731079
2022,40,5-24 yr,3.90418881509689
2022,40,25-49 yr,1.4420763546125221
2022,40,50-64 yr,0.9436965456744884
2022,40,65+ yr,0.6958934638452211
2022,41,0-4 yr,10.50290562617577
2022,41,5-24 yr,4.414441652022196
2022,41,25-49 yr,1.6099288884685836
2022,41,50-64 yr,1.0308774672659762
2022,41,65+ yr,0.7811130587204207
2022,42,0-4 yr,11.459050490263575
2022,42,5-24 yr,5.359727829661436
2022,42,25-49 yr,1.8971605012764947
2022,42,50-64 yr,1.2630401598232939
2022,42,65+ yr,0.8592237282168632
2022,43,0-4 yr,13.66988124051617
2022,43,5-24 yr,7.727282493098003
2022,43,25-49 yr,2.5755794764300894
2022,43,50-64 yr,1.5890984217925954
2022,43,65+ yr,1.0563874773092548
2022,44,0-4 yr,15.267831227527708
2022,44,5-24 yr,9.873799507897452
2022,44,25-49 yr,3.3637221593053983
2022,44,50-64 yr,1.8987654077312517
2022,44,65+ yr,1.266536644970275
2022,45,0-4 yr,15.76071292020823
2022,45,5-24 yr,9.824382861707765
2022,45,25-49 yr,3.590493015518103
2022,45,50-64 yr,2.1948063949727383
2022,45,65+ yr,1.444157054396141
2022,46,0-4 yr,15.31821620468256
2022,46,5-24 yr,9.935322692574601
2022,46,25-49 yr,3.9625530373997306
2022,46,50-64 yr,2.430501154624287
2022,46,65+ yr,1.6569360080810462
2022,47,0-4 yr,17.41572680324827
2022,47,5-24 yr,12.714454626071534
2022,47,25-49 yr,5.2935125623910535
2022,47,50-64 yr,3.575809004948871
2022,47,65+ yr,2.5130772842930624
2022,48,0-4 yr,17.03360075447171
2022,48,5-24 yr,11.098989327792285
2022,48,25-49 yr,6.055659217728885
2022,48,50-64 yr,4.136417771732273
2022,48,65+ yr,3.0030008228062535
2022,49,0-4 yr,15.957946586185297
2022,49,5-24 yr,11.374378092628014
2022,49,25-49 yr,5.406104645211005
2022,49,50-64 yr,3.8277435771679347
2022,49,65+ yr,2.7996597043242146
2022,50,0-4 yr,15.207418399861394
2022,50,5-24 yr,10.940023284635895
2022,50,25-49 yr,5.15615183045497
2022,50,50-64 yr,3.6148092793979796
2022,50,65+ yr,2.6293381499161397
2022,51,0-4 yr,14.603773890639811
2022,51,5-24 yr,9.997428115837662
2022,51,25-49 yr,5.173481259868694
2022,51,50-64 yr,3.7729032440875714
2022,51,65+ yr,2.824612822287593
2022,52,0-4 yr,13.806883332477623
2022,52,5-24 yr,7.6440374278319725
2022,52,25-49 yr,4.868883880615877
2022,52,50-64 yr,3.828169429407924
2022,52,65+ yr,3.0879272870974117
2023,1,0-4 yr,10.827574148545557
2023,1,5-24 yr,5.160145487386272
2023,1,25-49 yr,3.709915420659253
2023,1,50-64 yr,3.1539060570951016
2023,1,65+ yr,2.5111334081327015
2023,2,0-4 yr,8.32155099632798
2023,2,5-24 yr,4.086770922554085
2023,2,25-49 yr,2.718544112115466
2023,2,50-64 yr,2.189281867975765
2023,2,65+ yr,1.6355273018580252
2023,3,0-4 yr,7.88040576615056
2023,3,5-24 yr,3.903502184717803
2023,3,25-49 yr,2.2663920012058485
2023,3,50-64 yr,1.7679837366275666
2023,3,65+ yr,1.2660048913825348
2023,4,0-4 yr,7.869296210363496
2023,4,5-24 yr,3.992586428123829
2023,4,25-49 yr,2.211933542554165
2023,4,50-64 yr,1.5840843393980615
2023,4,65+ yr,1.0600251658720725
2023,5,0-4 yr,8.048415739788766
2023,5,5-24 yr,4.150716395056327
2023,5,25-49 yr,2.2053753299146384
2023,5,50-64 yr,1.523676381466586
2023,5,65+ yr,1.04768416575591
2023,6,0-4 yr,8.058866629733545
2023,6,5-24 yr,4.158101117458993
2023,6,25-49 yr,2.167884809635556
2023,6,50-64 yr,1.5205009328327515
2023,6,65+ yr,1.083304994796014
2023,7,0-4 yr,7.9962857806110605
2023,7,5-24 yr,4.046264540037466
2023,7,25-49 yr,2.107503313775466
2023,7,50-64 yr,1.5031078173559647
2023,7,65+ yr,1.0513551549898474
2023,8,0-4 yr,8.161790623898485
2023,8,5-24 yr,3.9390129696860847
2023,8,25-49 yr,2.011024647146394
2023,8,50-64 yr,1.4991313317769694
2023,8,65+ yr,1.077516585906318
2023,9,0-4 yr,7.696715547104941
2023,9,5-24 yr,3.8120196641482433
2023,9,25-49 yr,1.9700292047685164
2023,9,50-64 yr,1.413932667357732
2023,9,65+ yr,0.9768342648151911
2023,10,0-4 yr,7.8073910894094585
2023,10,5-24 yr,3.7785478173062463
2023,10,25-49 yr,1.890444952494744
2023,10,50-64 yr,1.2749542539687773
2023,10,65+ yr,0.8904458402135835
2023,11,0-4 yr,7.915865954142206
2023,11,5-24 yr,3.815193881419047
2023,11,25-49 yr,1.8618914944663725
2023,11,50-64 yr,1.295628472233892
2023,11,65+ yr,0.9174311926605505
2023,12,0-4 yr,7.422846825258148
2023,12,5-24 yr,3.6827317252921037
2023,12,25-49 yr,1.8796729126788936
2023,12,50-64 yr,1.2850217730671267
2023,12,65+ yr,0.8853360183271166
2023,13,0-4 yr,7.36250374469135
2023,13,5-24 yr,3.549697927545742
2023,13,25-49 yr,1.814254282090852
2023,13,50-64 yr,1.2161556466740815
2023,13,65+ yr,0.8903196987084203
2023,14,0-4 yr,7.289325072646527
2023,14,5-24 yr,3.376744733127712
2023,14,25-49 yr,1.6997587311632323
2023,14,50-64 yr,1.1698135035540145
2023,14,65+ yr,0.8395686417569267
2023,15,0-4 yr,6.890175269335906
2023,15,5-24 yr,3.164131001469264
2023,15,25-49 yr,1.6600405491334507
2023,15,50-64 yr,1.1024720497715716
2023,15,65+ yr,0.8007937070370633
2023,16,0-4 yr,6.394044555951323
2023,16,5-24 yr,3.058462011216102
2023,16,25-49 yr,1.5732760677642568
2023,16,50-64 yr,1.0562527412819052
2023,16,65+ yr,0.7654753645060494
2023,17,0-4 yr,6.444613415923295
2023,17,5-24 yr,3.215404571932057
2023,17,25-49 yr,1.5266545159128142
2023,17,50-64 yr,0.9929669011032966
2023,17,65+ yr,0.6979370069767803
2023,18,0-4 yr,6.533966329195981
2023,18,5-24 yr,3.300099761917877
2023,18,25-49 yr,1.532233591186794
2023,18,50-64 yr,1.0011451114332426
2023,18,65+ yr,0.7086115134099129
2023,19,0-4 yr,6.259478453856112
2023,19,5-24 yr,3.2881645883041464
2023,19,25-49 yr,1.4920799458250893
2023,19,50-64 yr,0.9271505833977188
2023,19,65+ yr,0.6682559598494354
2023,20,0-4 yr,6.2602255248694565
2023,20,5-24 yr,3.2479916777437436
2023,20,25-49 yr,1.4793681720130818
2023,20,50-64 yr,0.9406930482165312
2023,20,65+ yr,0.6569217630394935
2023,21,0-4 yr,5.891384702871766
2023,21,5-24 yr,3.2020034882160906
2023,21,25-49 yr,1.4366504189501863
2023,21,50-64 yr,0.8927644902672938
2023,21,65+ yr,0.6618787153340707
2023,22,0-4 yr,6.130396830725845
2023,22,5-24 yr,3.200619560899565
2023,22,25-49 yr,1.4547857849568542
2023,22,50-64 yr,0.9677208954250386
2023,22,65+ yr,0.6909028525086168
2023,23,0-4 yr,5.609802412624804
2023,23,5-24 yr,2.681771481467667
2023,23,25-49 yr,1.3642346208869813
2023,23,50-64 yr,0.8827463809385058
2023,23,65+ yr,0.6456357871056074
2023,24,0-4 yr,5.241469574731331
2023,24,5-24 yr,2.404598636972985
2023,24,25-49 yr,1.2779827727692687
2023,24,50-64 yr,0.8273012725169393
2023,24,65+ yr,0.5981070952169218
2023,25,0-4 yr,4.834885690093142
2023,25,5-24 yr,2.165191846738876
2023,25,25-49 yr,1.2260614433362091
2023,25,50-64 yr,0.7854163675160873
2023,25,65+ yr,0.5645688781726539
2023,26,0-4 yr,4.455636519502786
2023,26,5-24 yr,1.8967822636300897
2023,26,25-49 yr,1.1272898074213247
2023,26,50-64 yr,0.7380751655748622
2023,26,65+ yr,0.5457204162751316
2023,27,0-4 yr,4.161483161406097
2023,27,5-24 yr,1.8762207344378117
2023,27,25-49 yr,1.0730063984281397
2023,27,50-64 yr,0.7232097580565567
2023,27,65+ yr,0.5590634043672718
2023,28,0-4 yr,3.995870933368852
2023,28,5-24 yr,1.7173145886017174
2023,28,25-49 yr,1.0361680225676115
2023,28,50-64 yr,0.6935832967176032
2023,28,65+ yr,0.5181543882386295
2023,29,0-4 yr,4.133641567591369
2023,29,5-24 yr,1.6691903573688214
2023,29,25-49 yr,1.011173457307471
2023,29,50-64 yr,0.6968290545584369
2023,29,65+ yr,0.534580603663308
2023,30,0-4 yr,4.186444634658781
2023,30,5-24 yr,1.708020036797941
2023,30,25-49 yr,1.0047696430017306
2023,30,50-64 yr,0.747999764099943
2023,30,65+ yr,0.5600543761885245
2023,31,0-4 yr,4.175459076011314
2023,31,5-24 yr,1.6488385116503272
2023,31,25-49 yr,1.0707249029703425
2023,31,50-64 yr,0.7742773411482616
2023,31,65+ yr,0.5569812950972275
2023,32,0-4 yr,4.373759696915028
2023,32,5-24 yr,1.807968310865942
2023,32,25-49 yr,1.1354404755367116
2023,32,50-64 yr,0.8182320981227836
2023,32,65+ yr,0.6154854319991935
2023,33,0-4 yr,4.690032303231425
2023,33,5-24 yr,2.1310864816436648
2023,33,25-49 yr,1.252095656550748
2023,33,50-64 yr,0.8478411632745423
2023,33,65+ yr,0.672307987827687
2023,34,0-4 yr,5.764174198849631
2023,34,5-24 yr,2.8982728544263017
2023,34,25-49 yr,1.471136527628096
2023,34,50-64 yr,0.9716035006112844
2023,34,65+ yr,0.7334581379586633
2023,35,0-4 yr,6.16751627007314
2023,35,5-24 yr,3.1101582388744666
2023,35,25-49 yr,1.576058016823666
2023,35,50-64 yr,1.0840501060340626
2023,35,65+ yr,0.7896106246747664
2023,36,0-4 yr,6.474834274490547
2023,36,5-24 yr,3.1266986880962295
2023,36,25-49 yr,1.6144832811627035
2023,36,50-64 yr,1.0941936174268392
2023,36,65+ yr,0.867242266919036
2023,37,0-4 yr,6.278088644566169
2023,37,5-24 yr,3.0050820121116217
2023,37,25-49 yr,1.571449385327715
2023,37,50-64 yr,1.0832597318709711
2023,37,65+ yr,0.8098670413128907
2023,38,0-4 yr,6.837704294944888
2023,38,5-24 yr,3.1720186944067543
2023,38,25-49 yr,1.5962268562437596
2023,38,50-64 yr,1.0925857863610544
2023,38,65+ yr,0.8423691117628628
